,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist
0,0.491,0.801,4,-9.835,1,0.0361,0.27,0.0,0.0665,0.971,160.109,audio_features,3KiexfmhxHvG5IgAElmTkd,spotify:track:3KiexfmhxHvG5IgAElmTkd,https://api.spotify.com/v1/tracks/3KiexfmhxHvG5IgAElmTkd,https://api.spotify.com/v1/audio-analysis/3KiexfmhxHvG5IgAElmTkd,173947,4,i saw her standing there ,the beatles
1,0.591,0.605,0,-10.925,1,0.0413,0.707,0.0,0.309,0.882,133.348,audio_features,40qXGg5nRbcWzcFb26KWkQ,spotify:track:40qXGg5nRbcWzcFb26KWkQ,https://api.spotify.com/v1/tracks/40qXGg5nRbcWzcFb26KWkQ,https://api.spotify.com/v1/audio-analysis/40qXGg5nRbcWzcFb26KWkQ,108547,4,misery ,the beatles
2,0.608,0.565,2,-11.06,1,0.0336,0.635,0.0,0.0601,0.835,109.286,audio_features,2baEFuU0gQon0hgVRioI1o,spotify:track:2baEFuU0gQon0hgVRioI1o,https://api.spotify.com/v1/tracks/2baEFuU0gQon0hgVRioI1o,https://api.spotify.com/v1/audio-analysis/2baEFuU0gQon0hgVRioI1o,177133,4,anna (go to him) ,the beatles
3,0.654,0.561,10,-10.551,1,0.0304,0.608,0.0,0.129,0.929,129.884,audio_features,3JQWLa88R35d971o5bIImd,spotify:track:3JQWLa88R35d971o5bIImd,https://api.spotify.com/v1/tracks/3JQWLa88R35d971o5bIImd,https://api.spotify.com/v1/audio-analysis/3JQWLa88R35d971o5bIImd,145080,4,chains ,the beatles
4,0.402,0.86,4,-10.31,1,0.0504,0.607,0.0,0.736,0.822,142.445,audio_features,7JxGM1R32ZqfwZou3VtnTg,spotify:track:7JxGM1R32ZqfwZou3VtnTg,https://api.spotify.com/v1/tracks/7JxGM1R32ZqfwZou3VtnTg,https://api.spotify.com/v1/audio-analysis/7JxGM1R32ZqfwZou3VtnTg,146440,4,boys ,the beatles
5,0.605,0.394,4,-11.33,1,0.0378,0.767,0.0,0.0967,0.597,133.942,audio_features,7529Z6b1rlGZFFPWjHPeV5,spotify:track:7529Z6b1rlGZFFPWjHPeV5,https://api.spotify.com/v1/tracks/7529Z6b1rlGZFFPWjHPeV5,https://api.spotify.com/v1/audio-analysis/7529Z6b1rlGZFFPWjHPeV5,146533,4,ask me why ,the beatles
6,0.527,0.48,4,-9.61,1,0.028,0.334,0.0,0.0702,0.706,139.388,audio_features,6EHuOufBeL6vk3TvVJB5qo,spotify:track:6EHuOufBeL6vk3TvVJB5qo,https://api.spotify.com/v1/tracks/6EHuOufBeL6vk3TvVJB5qo,https://api.spotify.com/v1/audio-analysis/6EHuOufBeL6vk3TvVJB5qo,120853,4,please please me ,the beatles
7,0.52,0.829,0,-6.228,1,0.0806,0.386,6.2e-05,0.227,0.744,147.997,audio_features,3VbGCXWRiouAq8VyMYN2MI,spotify:track:3VbGCXWRiouAq8VyMYN2MI,https://api.spotify.com/v1/tracks/3VbGCXWRiouAq8VyMYN2MI,https://api.spotify.com/v1/audio-analysis/3VbGCXWRiouAq8VyMYN2MI,141693,4,love me do ,the beatles
8,0.635,0.656,2,-8.5,1,0.0291,0.389,0.00127,0.0828,0.77,134.435,audio_features,7Msq9qojB7yORuJvz49iUy,spotify:track:7Msq9qojB7yORuJvz49iUy,https://api.spotify.com/v1/tracks/7Msq9qojB7yORuJvz49iUy,https://api.spotify.com/v1/audio-analysis/7Msq9qojB7yORuJvz49iUy,124360,4,p.s. i love you ,the beatles
9,0.608,0.494,4,-12.211,0,0.0345,0.778,0.0,0.0926,0.879,112.421,audio_features,2VmB1rF9FtfKUmFHDVnq8Q,spotify:track:2VmB1rF9FtfKUmFHDVnq8Q,https://api.spotify.com/v1/tracks/2VmB1rF9FtfKUmFHDVnq8Q,https://api.spotify.com/v1/audio-analysis/2VmB1rF9FtfKUmFHDVnq8Q,160520,4,baby it's you ,the beatles
