account_id,loan_id,balance,status_description
6034,6228,456778.0,defaulter-contract finished
2176,5395,290780.0,defaulter-contract finished
6051,6232,268975.0,defaulter-contract finished
6118,6244,263130.0,defaulter-contract finished
8566,6738,223825.0,defaulter-contract finished
10131,7066,209405.0,defaulter-contract finished
790,5126,203792.0,defaulter-contract finished
1106,5176,184529.0,defaulter-contract finished
7824,6594,181792.0,defaulter-contract finished
347,5045,179423.0,defaulter-contract finished
5442,6112,167463.0,defaulter-contract finished
5428,6111,167463.0,defaulter-contract finished
11021,7241,161943.0,defaulter-contract finished
1527,5269,159495.0,defaulter-contract finished
4081,5805,132158.0,defaulter-contract finished
1787,5314,88363.0,defaulter-contract finished
3273,5643,86636.0,defaulter-contract finished
5927,6210,85399.0,defaulter-contract finished
10266,7097,72473.0,defaulter-contract finished
6473,6316,70499.0,defaulter-contract finished
6400,6303,69391.0,defaulter-contract finished
4462,5892,63710.0,defaulter-contract finished
1993,5352,62700.0,defaulter-contract finished
5066,6027,59087.0,defaulter-contract finished
6609,6342,58485.0,defaulter-contract finished
1888,5338,52580.0,defaulter-contract finished
4320,5856,47080.0,defaulter-contract finished
8073,6650,45210.0,defaulter-contract finished
7418,6501,27753.0,defaulter-contract finished
19,4961,27753.0,defaulter-contract finished
9199,6865,26994.0,defaulter-contract finished
7542,6534,580973.0,good - on track
8926,6791,557196.0,good - on track
817,5132,529525.0,good - on track
2936,5569,495600.0,good - on track
7049,6436,486927.0,good - on track
6950,6415,465770.0,good - on track
339,5043,460259.0,good - on track
2516,5486,456887.0,good - on track
4774,5970,455383.0,good - on track
3679,5725,435596.0,good - on track
2910,5561,430169.0,good - on track
2545,5491,419851.0,good - on track
11349,7304,412882.0,good - on track
10297,7101,412237.0,good - on track
10520,7154,410640.0,good - on track
8377,6704,410109.0,good - on track
2246,5419,408870.0,good - on track
4190,5830,399017.0,good - on track
4650,5938,395300.0,good - on track
5181,6055,392468.0,good - on track
6226,6272,391996.0,good - on track
1862,5329,389518.0,good - on track
11186,7271,385919.0,good - on track
6592,6338,384149.0,good - on track
7637,6554,381969.0,good - on track
3005,5589,381875.0,good - on track
1374,5236,381029.0,good - on track
1808,5318,377551.0,good - on track
1093,5174,377081.0,good - on track
2912,5563,373824.0,good - on track
9455,6926,368514.0,good - on track
7795,6585,365918.0,good - on track
319,5041,362850.0,good - on track
5422,6109,362732.0,good - on track
4948,6006,353764.0,good - on track
2572,5494,352500.0,good - on track
105,4989,345356.0,good - on track
10280,7100,342318.0,good - on track
5477,6118,342113.0,good - on track
2245,5418,340703.0,good - on track
9504,6938,335592.0,good - on track
10774,7195,332102.0,good - on track
3906,5772,329043.0,good - on track
2754,5532,328295.0,good - on track
9869,7004,326034.0,good - on track
330,5042,324676.0,good - on track
4354,5865,322199.0,good - on track
6062,6235,316004.0,good - on track
4456,5889,315886.0,good - on track
3115,5611,315827.0,good - on track
9037,6821,315229.0,good - on track
7614,6550,313913.0,good - on track
5072,6028,312228.0,good - on track
11317,7292,312169.0,good - on track
10942,7227,309278.0,good - on track
2279,5435,308132.0,good - on track
10065,7050,304748.0,good - on track
8320,6695,304499.0,good - on track
7562,6540,303150.0,good - on track
915,5145,303103.0,good - on track
10202,7085,299061.0,good - on track
5313,6087,295649.0,good - on track
9859,7001,295590.0,good - on track
2445,5469,288274.0,good - on track
6678,6350,288251.0,good - on track
2000,5354,285973.0,good - on track
4949,6007,283880.0,good - on track
8558,6736,283554.0,good - on track
7045,6435,282705.0,good - on track
5632,6153,280840.0,good - on track
9241,6877,280486.0,good - on track
940,5148,279542.0,good - on track
11328,7295,275766.0,good - on track
9646,6962,273258.0,good - on track
5263,6073,271695.0,good - on track
3293,5644,268415.0,good - on track
2933,5568,267978.0,good - on track
9167,6859,267683.0,good - on track
2055,5365,266739.0,good - on track
3664,5719,265926.0,good - on track
6358,6296,264751.0,good - on track
2872,5556,263848.0,good - on track
10644,7167,262465.0,good - on track
10478,7147,262025.0,good - on track
8405,6712,261783.0,good - on track
501,5082,258597.0,good - on track
4994,6012,251265.0,good - on track
3137,5614,249334.0,good - on track
1071,5170,248980.0,good - on track
1068,5169,248980.0,good - on track
10613,7164,244588.0,good - on track
1967,5350,244118.0,good - on track
6157,6254,242755.0,good - on track
8327,6698,242567.0,good - on track
4260,5837,240484.0,good - on track
9627,6955,239277.0,good - on track
8645,6748,236885.0,good - on track
5305,6083,235517.0,good - on track
1811,5319,235469.0,good - on track
10233,7088,235174.0,good - on track
8158,6675,232085.0,good - on track
7099,6450,229454.0,good - on track
5742,6178,227715.0,good - on track
5724,6173,227715.0,good - on track
10063,7049,226940.0,good - on track
378,5051,226560.0,good - on track
2699,5520,226352.0,good - on track
2262,5428,223825.0,good - on track
9510,6940,221935.0,good - on track
5628,6151,221663.0,good - on track
9491,6932,220806.0,good - on track
5591,6142,218182.0,good - on track
8411,6715,216943.0,good - on track
7713,6568,216766.0,good - on track
4413,5876,216670.0,good - on track
4784,5973,214884.0,good - on track
8094,6660,214305.0,good - on track
10022,7037,213521.0,good - on track
9179,6861,211456.0,good - on track
11096,7255,209745.0,good - on track
2080,5369,208635.0,good - on track
4852,5989,207375.0,good - on track
4144,5823,207060.0,good - on track
525,5086,206001.0,good - on track
10005,7035,204890.0,good - on track
3418,5674,202946.0,good - on track
10645,7168,202545.0,good - on track
4746,5963,201367.0,good - on track
1011,5160,200600.0,good - on track
7176,6468,200541.0,good - on track
1876,5334,200330.0,good - on track
5362,6097,198622.0,good - on track
1772,5312,197155.0,good - on track
2456,5470,196789.0,good - on track
2345,5450,196352.0,good - on track
10650,7171,192136.0,good - on track
10404,7129,191042.0,good - on track
6924,6403,190820.0,good - on track
