districtname,region,avg_salary,unemployment_rate,criminilaty,enterpreneurs,status
Sokolov,"west Bohemia",9650,3.5250000953674316,2894.5000,100,B
Nachod,"east Bohemia",8369,2.049999952316284,2736.0000,117,A
Jicin,"east Bohemia",8390,2.5850000381469727,2101.0000,132,A
Pribram,"central Bohemia",8754,4.069999933242798,3836.0000,137,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
Rakovnik,"central Bohemia",8598,3.0149999856948853,1736.0000,123,A
"Cesky Krumlov","south Bohemia",9045,3.365000009536743,1862.0000,124,A
"Karlovy Vary","west Bohemia",8991,1.699999988079071,5235.5000,128,B
Pisek,"south Bohemia",8968,3.0899999141693115,1825.0000,131,A
"Ceske Budejovice","south Bohemia",10045,1.5649999976158142,6449.5000,135,A
"Brno - venkov","south Moravia",8743,2.1550000309944153,3776.5000,111,A
Chrudim,"east Bohemia",8254,3.274999976158142,2245.5000,97,A
"Kutna Hora","central Bohemia",8546,3.4850000143051147,2880.0000,126,B
Semily,"east Bohemia",8208,2.074999988079071,1891.5000,155,A
Vyskov,"south Moravia",8288,4.1549999713897705,1511.0000,110,A
Zlin,"south Moravia",9624,1.9549999833106995,4374.5000,145,A
"Frydek - Mistek","north Moravia",9893,4.4049999713897705,5755.0000,96,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
"Praha - zapad","central Bohemia",9622,0.5199999809265137,3502.0000,154,A
"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,B
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
"Frydek - Mistek","north Moravia",9893,4.4049999713897705,5755.0000,96,C
Kladno,"central Bohemia",9753,4.8450000286102295,5568.0000,109,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
"Praha - zapad","central Bohemia",9622,0.5199999809265137,3502.0000,154,A
"Karlovy Vary","west Bohemia",8991,1.699999988079071,5235.5000,128,B
Svitavy,"east Bohemia",8187,5.139999866485596,2128.5000,94,A
Teplice,"north Bohemia",9317,6.7799999713897705,6910.5000,97,C
Prerov,"north Moravia",8819,5.519999980926514,4284.0000,99,A
Melnik,"central Bohemia",9920,2.5649999380111694,4567.5000,130,A
"Ostrava - mesto","north Moravia",10673,5.0950000286102295,18564.5000,100,A
Zlin,"south Moravia",9624,1.9549999833106995,4374.5000,145,A
Most,"north Bohemia",10446,8.369999885559082,4845.0000,90,A
"Rychnov nad Kneznou","east Bohemia",9060,2.1100000143051147,1686.0000,124,A
Louny,"north Bohemia",8965,7.654999732971191,2737.5000,104,A
"Uherske Hradiste","south Moravia",8544,1.574999988079071,2812.5000,109,C
Chrudim,"east Bohemia",8254,3.274999976158142,2245.5000,97,C
"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,B
Vsetin,"north Moravia",8909,4.7850000858306885,3525.0000,113,C
Olomouc,"north Moravia",8994,4.294999957084656,9440.0000,110,A
"Jindrichuv Hradec","south Bohemia",8427,1.3299999833106995,1893.5000,107,A
"Praha - vychod","central Bohemia",10124,0.550000011920929,4063.0000,141,C
"Praha - zapad","central Bohemia",9622,0.5199999809265137,3502.0000,154,A
Strakonice,"south Bohemia",8547,3.1450001001358032,1552.5000,120,A
Cheb,"west Bohemia",8624,2.225000023841858,3038.5000,102,A
Pribram,"central Bohemia",8754,4.069999933242798,3836.0000,137,B
Kladno,"central Bohemia",9753,4.8450000286102295,5568.0000,109,A
"Usti nad Labem","north Bohemia",9832,3.899999976158142,5958.0000,114,A
"Zdar nad Sazavou","south Moravia",8512,3.8149999380111694,2175.0000,102,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
"Zdar nad Sazavou","south Moravia",8512,3.8149999380111694,2175.0000,102,A
Sokolov,"west Bohemia",9650,3.5250000953674316,2894.5000,100,A
"Plzen - jih","west Bohemia",8561,0.9699999690055847,1078.0000,110,A
Chrudim,"east Bohemia",8254,3.274999976158142,2245.5000,97,A
"Cesky Krumlov","south Bohemia",9045,3.365000009536743,1862.0000,124,B
Louny,"north Bohemia",8965,7.654999732971191,2737.5000,104,A
"Praha - zapad","central Bohemia",9622,0.5199999809265137,3502.0000,154,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C
Chomutov,"north Bohemia",9675,7.054999828338623,5256.5000,100,B
Teplice,"north Bohemia",9317,6.7799999713897705,6910.5000,97,C
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
Breclav,"south Moravia",8772,4.835000038146973,3006.0000,126,C
Vyskov,"south Moravia",8288,4.1549999713897705,1511.0000,110,A
Prachatice,"south Bohemia",8402,3.555000066757202,1049.0000,120,A
Breclav,"south Moravia",8772,4.835000038146973,3006.0000,126,B
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
Vsetin,"north Moravia",8909,4.7850000858306885,3525.0000,113,A
"Praha - zapad","central Bohemia",9622,0.5199999809265137,3502.0000,154,C
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,D
Pribram,"central Bohemia",8754,4.069999933242798,3836.0000,137,A
"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,B
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
Jicin,"east Bohemia",8390,2.5850000381469727,2101.0000,132,A
Bruntal,"north Moravia",8110,6.1600000858306885,3161.5000,109,B
Pardubice,"east Bohemia",9538,1.659999966621399,5744.5000,111,C
"Brno - venkov","south Moravia",8743,2.1550000309944153,3776.5000,111,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
"Praha - vychod","central Bohemia",10124,0.550000011920929,4063.0000,141,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
Cheb,"west Bohemia",8624,2.225000023841858,3038.5000,102,A
Bruntal,"north Moravia",8110,6.1600000858306885,3161.5000,109,A
Tachov,"west Bohemia",8930,3.859999895095825,1390.0000,108,A
"Zdar nad Sazavou","south Moravia",8512,3.8149999380111694,2175.0000,102,A
"Brno - venkov","south Moravia",8743,2.1550000309944153,3776.5000,111,A
Prostejov,"south Moravia",8441,3.965000033378601,2065.5000,115,A
Louny,"north Bohemia",8965,7.654999732971191,2737.5000,104,A
"Usti nad Orlici","east Bohemia",8363,3.0049999952316284,2681.5000,108,A
"Frydek - Mistek","north Moravia",9893,4.4049999713897705,5755.0000,96,A
"Ceska Lipa","north Bohemia",9272,3.009999990463257,4422.5000,118,A
"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,A
Prostejov,"south Moravia",8441,3.965000033378601,2065.5000,115,B
"Ostrava - mesto","north Moravia",10673,5.0950000286102295,18564.5000,100,B
"Brno - venkov","south Moravia",8743,2.1550000309944153,3776.5000,111,A
Svitavy,"east Bohemia",8187,5.139999866485596,2128.5000,94,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
Prostejov,"south Moravia",8441,3.965000033378601,2065.5000,115,A
Zlin,"south Moravia",9624,1.9549999833106995,4374.5000,145,A
"Ostrava - mesto","north Moravia",10673,5.0950000286102295,18564.5000,100,A
Znojmo,"south Moravia",8403,5.729999780654907,2437.5000,105,A
"Jindrichuv Hradec","south Bohemia",8427,1.3299999833106995,1893.5000,107,A
Karvina,"north Moravia",10177,7.190000057220459,9993.0000,81,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
Breclav,"south Moravia",8772,4.835000038146973,3006.0000,126,A
"Ostrava - mesto","north Moravia",10673,5.0950000286102295,18564.5000,100,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,A
Strakonice,"south Bohemia",8547,3.1450001001358032,1552.5000,120,B
